instrument_id,option_type,strike_price,execution,expiration_in_mnths,number_of_instruments,und_spot_1,und_spot_2,und_spot_3,und_spot_4,und_spot_5,und_vol_1,und_vol_2,und_vol_3,und_vol_4,und_vol_5,und_corr_mat_00,und_corr_mat_01,und_corr_mat_02,und_corr_mat_03,und_corr_mat_04,und_corr_mat_10,und_corr_mat_11,und_corr_mat_12,und_corr_mat_13,und_corr_mat_14,und_corr_mat_20,und_corr_mat_21,und_corr_mat_22,und_corr_mat_23,und_corr_mat_24,und_corr_mat_30,und_corr_mat_31,und_corr_mat_32,und_corr_mat_33,und_corr_mat_34,und_corr_mat_40,und_corr_mat_41,und_corr_mat_42,und_corr_mat_43,und_corr_mat_44,earliest_date,latest_date,payoff_at_expiry,,
123,Call,100,European,3,5,100,100,100,100,100,0.1,0.12,0.13,0.09,0.11,1,0.1,-0.1,0,0,0.1,1,0,0,0.2,-0.1,0,1,0,0,0,0,0,1,0.15,0,0.2,0,0.15,1,0,0,false,,
124,Call,85,European,3,5,100,105,100,100,100,0.1,0.12,0.13,0.09,0.11,1,0.1,-0.1,0,0,0.1,1,0,0,0.2,-0.1,0,1,0,0,0,0,0,1,0.15,0,0.2,0,0.15,1,0,0,false,,
125,Put,95,European,6,5,100,105,100,100,100,0.1,0.12,0.13,0.09,0.11,1,0.1,-0.1,0,0,0.1,1,0,0,0.2,-0.1,0,1,0,0,0,0,0,1,0.15,0,0.2,0,0.15,1,0,0,false,,
126,Call,50,American,0,5,70,105,100,100,100,0.1,0.12,0.13,0.09,0.11,1,0.1,-0.1,0,0,0.1,1,0,0,0.2,-0.1,0,1,0,0,0,0,0,1,0.15,0,0.2,0,0.15,1,3,9,True,,
127,Put,97,European,3,5,80,95,100,100,100,0.1,0.12,0.13,0.09,0.11,1,0.1,-0.1,0,0,0.1,1,0,0,0.2,-0.1,0,1,0,0,0,0,0,1,0.15,0,0.2,0,0.15,1,0,0,false,,
128,Call,85,European,3,5,70,105,100,100,100,0.1,0.12,0.13,0.09,0.11,1,0.1,-0.1,0,0,0.1,1,0,0,0.2,-0.1,0,1,0,0,0,0,0,1,0.15,0,0.2,0,0.15,1,0,0,false,,
129,Put,96,European,6,5,102,105,100,100,100,0.1,0.12,0.13,0.09,0.11,1,0.1,-0.1,0,0,0.1,1,0,0,0.2,-0.1,0,1,0,0,0,0,0,1,0.15,0,0.2,0,0.15,1,0,0,false,,
130,Put,89,American,0,5,79,105,100,100,100,0.1,0.12,0.13,0.09,0.11,1,0.1,-0.1,0,0,0.1,1,0,0,0.2,-0.1,0,1,0,0,0,0,0,1,0.15,0,0.2,0,0.15,1,9,12,True,,
131,Call,40,European,3,5,100,100,100,110,100,0.1,0.12,0.13,0.09,0.11,1,0.1,-0.1,0,0,0.1,1,0,0,0.2,-0.1,0,1,0,0,0,0,0,1,0.15,0,0.2,0,0.15,1,0,0,false,,
132,Call,97,European,3,5,100,105,105,100,100,0.1,0.12,0.13,0.09,0.11,1,0.1,-0.1,0,0,0.1,1,0,0,0.2,-0.1,0,1,0,0,0,0,0,1,0.15,0,0.2,0,0.15,1,0,0,false,,
133,Put,188,European,6,5,100,105,100,105,100,0.1,0.12,0.13,0.09,0.11,1,0.1,-0.1,0,0,0.1,1,0,0,0.2,-0.1,0,1,0,0,0,0,0,1,0.15,0,0.2,0,0.15,1,0,0,false,,
134,Call,58,American,0,5,70,105,99,100,95,0.1,0.12,0.13,0.09,0.11,1,0.1,-0.1,0,0,0.1,1,0,0,0.2,-0.1,0,1,0,0,0,0,0,1,0.15,0,0.2,0,0.15,1,6,9,True,,
135,Put,140,European,3,5,100,95,70,80,100,0.1,0.12,0.13,0.09,0.11,1,0.1,-0.1,0,0,0.1,1,0,0,0.2,-0.1,0,1,0,0,0,0,0,1,0.15,0,0.2,0,0.15,1,0,0,false,,
136,Call,20,European,3,5,70,105,100,100,100,0.1,0.12,0.13,0.09,0.11,1,0.1,-0.1,0,0,0.1,1,0,0,0.2,-0.1,0,1,0,0,0,0,0,1,0.15,0,0.2,0,0.15,1,0,0,false,,
137,Put,120,European,6,5,102,105,100,100,100,0.1,0.12,0.13,0.09,0.11,1,0.1,-0.1,0,0,0.1,1,0,0,0.2,-0.1,0,1,0,0,0,0,0,1,0.15,0,0.2,0,0.15,1,0,0,false,,
138,Put,102,American,0,5,79,105,100,100,100,0.1,0.12,0.13,0.09,0.11,1,0.1,-0.1,0,0,0.1,1,0,0,0.2,-0.1,0,1,0,0,0,0,0,1,0.15,0,0.2,0,0.15,1,3,12,False,,
139,Call,101,European,3,5,100,100,100,100,100,0.1,0.12,0.13,0.09,0.11,1,0.1,-0.1,0,0,0.1,1,0,0,0.2,-0.1,0,1,0,0,0,0,0,1,0.15,0,0.2,0,0.15,1,0,0,false,,
140,Call,78,European,3,5,100,105,100,100,100,0.1,0.12,0.13,0.09,0.11,1,0.1,-0.1,0,0,0.1,1,0,0,0.2,-0.1,0,1,0,0,0,0,0,1,0.15,0,0.2,0,0.15,1,0,0,false,,
