instrument_id,option_type,strike_price,execution,expiration_in_mnths,number_of_instruments,und_spot_1,und_spot_2,und_spot_3,und_spot_4,und_spot_5,und_vol_1,und_vol_2,und_vol_3,und_vol_4,und_vol_5,und_corr_mat_00,und_corr_mat_01,und_corr_mat_02,und_corr_mat_03,und_corr_mat_04,und_corr_mat_10,und_corr_mat_11,und_corr_mat_12,und_corr_mat_13,und_corr_mat_14,und_corr_mat_20,und_corr_mat_21,und_corr_mat_22,und_corr_mat_23,und_corr_mat_24,und_corr_mat_30,und_corr_mat_31,und_corr_mat_32,und_corr_mat_33,und_corr_mat_34,und_corr_mat_40,und_corr_mat_41,und_corr_mat_42,und_corr_mat_43,und_corr_mat_44,earliest_date,latest_date,payoff_at_expiry
123,Call,100,European,3,5,100,100,100,100,100,0.262243446,0.404641128,0.204870287,0.256391557,0.183490329,1,0.130760659,-0.169633406,0.037867674,0.080820283,0.161237934,1,0.117127217,0.06804028,0.120583835,-0.07751229,0.498083683,1,0.707498127,0.616805025,0.923990253,0.50171572,0.846393971,1,0.903111557,0.854626576,0.601607343,0.875948796,0.964340042,1,0,0,FALSE
124,Call,85,European,3,5,100,105,100,100,100,0.362398394,0.322933066,0.249451468,0.219133319,0.139152817,1,0.14120861,-0.136432123,0.049451538,0.038029238,0.229224967,1,0.078465267,0.07570802,0.059349804,-0.082856049,0.405662851,1,0.706535107,0.641242619,0.973732248,0.567539813,0.803625171,1,0.954455001,0.87371654,0.673145117,0.827034891,0.964549608,1,0,0,FALSE
125,Put,95,European,6,5,100,105,100,100,100,0.125692238,0.334221996,0.373836255,0.150835596,0.224367806,1,0.148526701,-0.07344504,0.132650804,0.084731387,0.234637359,1,0.091607761,0.030585521,0.068141193,-0.043494524,0.410261544,1,0.767954889,0.651610775,0.995348795,0.560898054,0.813367721,1,0.906032329,0.867960375,0.672357045,0.836038387,0.888802157,1,0,0,FALSE
126,Call,50,American,0,5,70,105,100,100,100,0.13378921,0.263747126,0.25414644,0.284224085,0.191346636,1,0.051804919,-0.083628127,0.096468621,0.092082559,0.201066698,1,0.130106777,0.038178676,0.096214585,-0.086012088,0.410839893,1,0.702293927,0.647933387,0.922443065,0.543680436,0.85746023,1,0.9435192,0.926894095,0.654970645,0.846600612,0.915060389,1,3,9,TRUE
127,Put,97,European,3,5,80,95,100,100,100,0.144863893,0.184588233,0.244633717,0.326752993,0.25819753,1,0.149125372,-0.148004745,0.128379329,0.122782737,0.225205369,1,0.123667081,0.050053553,0.13158297,-0.099923309,0.48679067,1,0.750397815,0.684293435,0.936735451,0.518418848,0.866684738,1,0.969690625,0.945022732,0.597051747,0.830090323,0.877474672,1,0,0,FALSE
128,Call,85,European,3,5,70,105,100,100,100,0.344672209,0.207263344,0.306667475,0.334782319,0.111532551,1,0.088346081,-0.153287169,0.064727895,0.051726288,0.206595738,1,0.074722167,0.109077284,0.060009241,-0.086910606,0.432487841,1,0.7084214,0.666672377,0.953057121,0.553811582,0.816905232,1,0.933784691,0.939866853,0.656649988,0.803421813,0.873181913,1,0,0,FALSE
129,Put,96,European,6,5,102,105,100,100,100,0.336550547,0.410742569,0.28856187,0.388871151,0.146234831,1,0.087718748,-0.155018268,0.071429893,0.10806435,0.161267027,1,0.159989216,0.112783104,0.051622055,-0.060764948,0.402055565,1,0.725170483,0.681049987,0.958050944,0.5229624,0.836116043,1,0.977490594,0.8918578,0.645949119,0.878076333,0.957179973,1,0,0,FALSE
130,Put,89,American,0,5,79,105,100,100,100,0.390007152,0.319658156,0.328575825,0.1694642,0.275920171,1,0.143367218,-0.07406987,0.092807296,0.049635587,0.175898444,1,0.136899299,0.041827425,0.135488351,-0.056631639,0.461532096,1,0.785913141,0.612141308,0.979693922,0.527058199,0.812775631,1,0.933375577,0.944062517,0.664824339,0.874836099,0.964495774,1,9,12,TRUE
131,Call,40,European,3,5,100,100,100,110,100,0.203278484,0.409842674,0.292409923,0.380777319,0.285486859,1,0.121121393,-0.096631782,0.129358695,0.071989965,0.16122973,1,0.154540203,0.085818719,0.139389578,-0.067738104,0.40125795,1,0.702583999,0.634296476,0.969914711,0.580111473,0.890689704,1,0.916012143,0.925823851,0.683992281,0.84219037,0.912145894,1,0,0,FALSE
132,Call,97,European,3,5,100,105,105,100,100,0.325263991,0.379301073,0.369505547,0.233097728,0.363211019,1,0.100874818,-0.094634356,0.11162409,0.109389806,0.244113839,1,0.087844065,0.046840333,0.08719812,-0.092845105,0.436823558,1,0.718004646,0.671933131,0.945305342,0.572597746,0.829658767,1,0.993309802,0.871216463,0.6493066,0.815988687,0.967374713,1,0,0,FALSE
133,Put,188,European,6,5,100,105,100,105,100,0.378168072,0.290171349,0.254103611,0.420993841,0.21566119,1,0.074102015,-0.102360686,0.079007441,0.112632957,0.223415087,1,0.141624548,0.069317007,0.059577202,-0.073698743,0.4370844,1,0.778616945,0.656615971,0.915156634,0.576687932,0.857229787,1,0.972796319,0.917476493,0.642499954,0.868436042,0.938849902,1,0,0,FALSE
134,Call,58,American,0,5,70,105,99,100,95,0.243755936,0.379315695,0.191993871,0.360932178,0.315851664,1,0.07655509,-0.086725893,0.078498015,0.12288853,0.249802662,1,0.130852828,0.033334507,0.148347776,-0.08102134,0.424673523,1,0.704370889,0.671290237,0.949255636,0.552187389,0.860638022,1,0.972646576,0.918854185,0.680787055,0.85588884,0.888014709,1,6,9,TRUE
135,Put,140,European,3,5,100,95,70,80,100,0.330376463,0.421074947,0.427664682,0.186886041,0.122957802,1,0.092595773,-0.133322673,0.04500699,0.086835107,0.198767947,1,0.101753434,0.050736077,0.074899271,-0.025155212,0.447092973,1,0.756159531,0.636225475,0.928165485,0.581584605,0.810104793,1,0.971943373,0.898507914,0.665423061,0.801493327,0.954147546,1,0,0,FALSE
