AAPL,ABBV,AXP,BRK,CAT,GS,HON,HD,INTC,JNJ,JPM,KO,MSFT,ORCL,PG
154.156158,150.163986,173.620361,332.549988,211.506134,320.29599,184.022583,320.093292,42.9049,171.498871,128.248947,58.350071,284.360321,79.22261,146.502274
158.629074,150.327744,178.127533,336.109985,211.134857,331.583649,187.197586,322.402344,44.647522,169.92157,133.979889,58.193478,291.529999,78.593552,146.005035
159.652847,152.774582,184.400131,344.970001,216.626221,334.026031,188.079529,327.712219,45.135834,172.141495,135.673981,58.810062,292.351898,79.22261,146.463257
162.992645,153.362213,188.098587,342.410004,215.854294,336.079254,190.813553,331.979584,45.432663,170.233139,135.625595,58.819851,297.511292,80.284164,146.385284
164.384216,154.181061,186.490982,349.660004,218.59021,329.871033,189.147675,320.901947,45.375206,171.197037,135.189957,59.289627,296.253662,79.576462,146.940979
167.803497,154.142532,188.700195,349.929993,217.613113,333.773071,191.11734,321.252686,46.332691,170.388916,138.065094,59.504936,301.106049,80.402115,148.071884
169.185135,152.610825,183.463181,348.160004,217.085449,326.572296,188.481293,308.898682,46.217796,169.746307,135.315811,59.113461,296.580444,79.016205,147.038467
173.021896,154.402618,186.293732,352.369995,217.124542,327.175659,190.784164,307.661316,49.425369,170.622589,136.196747,59.681107,301.145691,80.834587,147.291946
173.667984,155.414124,187.664612,358.76001,218.24823,328.401672,193.821976,302.692474,49.626442,172.258331,137.387451,60.219391,300.729736,80.333305,148.998077
174.542694,156.030655,187.09259,359.570007,216.772797,326.27063,193.155609,306.19989,49.320045,173.144363,136.370987,60.601078,307.68158,82.171341,150.021759
177.882446,156.232941,188.315552,355.119995,215.981323,330.513245,193.576965,309.541687,50.028587,173.056732,136.671066,60.835972,312.345764,82.849556,151.562134
176.699615,157.745392,187.151749,357.609985,217.97464,326.552856,192.597046,300.52951,49.243446,174.857986,136.051514,60.884907,310.810822,81.935448,150.518951
173.55864,156.165512,184.429703,352.910004,217.720596,321.210693,190.676392,291.634277,47.452953,172.560165,131.966309,60.679382,305.314758,81.316223,148.968826
173.260452,156.714615,184.597366,351.880005,214.740387,321.327484,192.09729,294.128479,46.064598,173.494858,130.988556,61.530849,306.413971,80.608521,151.201401
177.36557,155.953568,185.080643,345.429993,215.756577,319.371613,192.13649,297.723572,47.108261,171.820175,131.569427,61.207874,311.910034,82.633308,150.216721
174.005936,157.437119,182.851685,344.799988,211.076218,315.236053,189.745422,297.022064,46.083744,172.930145,130.038284,61.139366,307.859802,81.522636,150.743195
170.795364,162.716171,181.184937,344.709991,211.261871,307.743408,189.735626,290.864563,45.518833,177.428406,128.2341,61.755943,296.590363,80.716644,152.897797
171.103485,166.925919,180.393677,346.51001,210.958954,305.690216,188.834091,294.966339,45.537983,176.970795,127.843979,62.088703,298.4422,80.460083,154.876877
169.065842,168.544312,181.689346,353.100006,212.063095,312.73526,186.345032,303.111359,45.020943,177.321289,130.18457,62.470402,294.08493,79.868027,156.0858
164.751984,163.602448,175.626465,352.019989,211.10553,312.122223,185.472916,298.834259,44.590073,175.101379,129.706711,62.450825,282.488708,78.703667,155.491089
166.650482,161.174835,173.618652,349.73999,211.740646,311.16861,187.158386,298.415314,44.523045,175.15979,128.282852,63.184849,279.319763,78.279358,155.023117
169.373962,154.422775,177.624329,346.220001,213.274719,313.299622,190.940964,302.439178,45.011364,175.899796,124.147835,63.351231,284.825775,78.693787,155.461838
164.294754,157.687073,179.17717,344.329987,222.59639,312.978546,191.274139,296.690796,43.728333,175.15979,122.99707,63.635056,277.11142,78.397758,154.594147
164.07608,154.821121,182.4608,346.649994,224.658096,320.996643,188.216736,292.491638,44.657093,172.978836,125.279121,63.06741,277.794708,77.184052,153.122025
166.392044,151.896835,185.121353,348.5,226.846848,326.903168,193.24379,299.886444,45.892254,178.256027,127.873245,63.683987,282.52829,78.506302,155.413086
166.223068,152.236877,186.397247,348.820007,229.700012,331.875549,192.401062,307.037781,46.064598,179.044678,128.321869,64.555031,283.578003,79.226639,159.546768
165.417953,154.005035,183.707016,343.600006,227.247467,325.297577,192.009079,302.380676,45.480534,178.528641,127.327118,64.799706,278.081909,78.427368,159.422287
160.815826,150.575562,178.563934,335.559998,212.363373,311.158905,186.805618,292.394196,44.561348,176.756592,123.669975,63.860149,271.367828,75.200668,158.088928
161.899261,151.848267,182.084976,336.950012,212.756088,312.764465,187.971756,297.100067,45.059242,181.108795,123.630959,64.535461,277.992798,75.96048,159.363449
155.855881,151.731674,176.694626,330.649994,206.47258,304.687958,183.905014,292.248077,43.584717,179.813858,119.973816,63.664417,267.594818,73.523186,156.657547
155.627258,153.130661,175.685791,329.579987,210.065964,304.794983,182.611481,293.845886,43.297466,177.301849,118.413437,64.163551,280.468506,73.769882,156.235977
162.654694,151.857971,179.988174,331.269989,208.573624,309.83551,186.109863,303.74469,44.848595,178.626007,120.285896,64.780128,286.816254,75.131599,160.206589
156.700729,142.696564,172.797745,322.829987,206.708191,297.263428,189.627838,292.676727,41.736763,175.705048,116.404457,63.233788,274.823883,72.427887,157.402664
157.008896,143.658371,169.741577,318.190002,208.210358,302.060699,192.920425,299.07785,43.048519,173.933014,117.467453,62.088703,281.70639,73.019936,155.275208
158.51973,145.339096,170.226212,318.98999,209.732132,306.186462,193.087006,297.119537,43.144268,173.592209,119.983574,61.736378,279.042511,72.319344,153.147736
165.02037,147.2724,175.873718,326.799988,218.538895,315.381989,201.720261,307.2034,44.561348,175.451904,123.952789,63.644833,287.162811,74.213921,154.275192
155.82605,147.845596,169.138245,318.679993,212.000092,304.639343,193.90036,291.419891,43.041386,172.102524,120.851532,63.135918,274.655548,71.835831,151.432053
156.562668,148.477097,165.32048,318.880005,210.743378,304.532257,191.509293,286.743347,42.751873,171.722794,120.656494,63.361015,272.060974,71.52993,152.941864
151.366486,146.660355,159.257599,312.959991,202.535538,300.571869,190.068832,289.393402,41.564854,172.657532,118.842545,63.233788,262.009583,70.592529,152.559494
153.805298,147.758163,160.058716,312.529999,199.295609,296.845032,190.862564,283.674286,42.472008,172.423843,115.946083,62.646564,266.881805,71.569412,151.755569
145.831848,147.631882,157.645432,311.540009,201.475204,293.429535,188.167725,275.68512,41.333241,171.489151,115.214661,62.94017,258.018707,70.089272,149.618317
141.909805,149.895508,151.592438,308.059998,199.334885,291.347168,190.01947,282.242065,41.342892,173.183289,115.117142,63.135918,252.869278,69.793251,149.010468
146.439056,149.128021,157.012436,310.359985,200.611221,298.723022,190.620285,288.419067,42.076332,172.190186,116.141136,64.320137,258.583221,70.227425,150.608521
144.876221,151.041901,154.717819,309.290009,203.419174,295.268646,191.043839,288.380127,41.574509,173.387772,115.331688,64.555031,258.959503,68.786766,152.079102
148.559341,150.371552,160.078522,314.600006,209.211792,304.541992,196.067154,293.212616,42.848381,174.108261,119.154625,64.37886,264.227875,70.928017,151.64772
140.177765,148.08847,154.391449,306.640015,204.155533,298.470062,190.955185,277.848053,40.870018,170.875763,117.116371,59.89642,252.197647,67.395439,142.196701
136.723572,147.398712,152.314423,304.149994,202.996994,299.900452,189.753525,280.361725,40.541897,169.356842,115.380447,58.721981,251.264587,66.152122,138.92218
136.962463,146.708939,151.562744,304.049988,194.219711,298.538147,186.897125,279.806366,40.194481,172.316727,114.434464,59.681107,250.688904,67.721062,139.010406
142.457306,143.813797,157.299255,310.200012,200.434494,308.083984,186.729691,278.676178,40.532249,175.834625,121.514694,61.521065,258.718964,69.112389,142.206512
